evaluation_method,model,cost_scenario,round_trip_cost_bps,n_trades_or_episodes,gross_mean_signed_return_bps,net_mean_signed_return_bps,net_median_signed_return_bps,net_positive_share
episode_first_signal,logit_dynamic_compact,near_best_raw_edge,3.5,22,1.4380615617206405,-2.0619384382793595,-1.5855358083242646,0.3181818181818182
episode_first_signal,logit_dynamic_compact,high_cost,4.0,22,1.4380615617206405,-2.5619384382793595,-2.0855358083242646,0.22727272727272727
episode_first_signal,logit_dynamic_compact,expensive_taker_like,5.0,22,1.4380615617206405,-3.5619384382793595,-3.0855358083242646,0.09090909090909091
episode_first_signal,logit_dynamic_compact,very_expensive_round_trip,9.0,22,1.4380615617206405,-7.561938438279359,-7.0855358083242646,0.0
episode_first_signal,xgboost_dynamic_compact,no_cost,0.0,10,1.848842582597987,1.848842582597987,1.6240437284542608,0.8
episode_first_signal,xgboost_dynamic_compact,very_low_cost,1.0,10,1.848842582597987,0.8488425825979871,0.6240437284542608,0.7
episode_first_signal,xgboost_dynamic_compact,low_cost,2.0,10,1.848842582597987,-0.15115741740201294,-0.3759562715457392,0.4
episode_first_signal,xgboost_dynamic_compact,medium_cost,3.0,10,1.848842582597987,-1.151157417402013,-1.3759562715457392,0.4
episode_first_signal,xgboost_dynamic_compact,near_best_raw_edge,3.5,10,1.848842582597987,-1.651157417402013,-1.8759562715457392,0.3
episode_first_signal,xgboost_dynamic_compact,high_cost,4.0,10,1.848842582597987,-2.151157417402013,-2.375956271545739,0.1
episode_first_signal,xgboost_dynamic_compact,expensive_taker_like,5.0,10,1.848842582597987,-3.151157417402013,-3.375956271545739,0.1
episode_first_signal,xgboost_dynamic_compact,very_expensive_round_trip,9.0,10,1.848842582597987,-7.151157417402013,-7.375956271545739,0.1
episode_first_signal,xgboost_dynamic_full,no_cost,0.0,10,2.1022547042623962,2.1022547042623962,1.502188532592763,0.9
episode_first_signal,xgboost_dynamic_full,very_low_cost,1.0,10,2.1022547042623962,1.1022547042623962,0.502188532592763,0.6
episode_first_signal,xgboost_dynamic_full,low_cost,2.0,10,2.1022547042623962,0.10225470426239622,-0.49781146740723703,0.4
episode_first_signal,xgboost_dynamic_full,medium_cost,3.0,10,2.1022547042623962,-0.8977452957376038,-1.497811467407237,0.4
episode_first_signal,xgboost_dynamic_full,near_best_raw_edge,3.5,10,2.1022547042623962,-1.3977452957376038,-1.997811467407237,0.3
episode_first_signal,xgboost_dynamic_full,high_cost,4.0,10,2.1022547042623962,-1.8977452957376038,-2.497811467407237,0.2
episode_first_signal,xgboost_dynamic_full,expensive_taker_like,5.0,10,2.1022547042623962,-2.8977452957376038,-3.497811467407237,0.1
episode_first_signal,xgboost_dynamic_full,very_expensive_round_trip,9.0,10,2.1022547042623962,-6.897745295737605,-7.497811467407237,0.1
