model,threshold,cost_scenario,round_trip_cost_bps,signal_group,n_signals,coverage,gross_mean_signed_return_bps,net_mean_signed_return_bps,net_median_signed_return_bps,net_positive_share,gross_positive_share,mean_future_return_bps
logit_full,0.7,optimistic_low_cost,1.0,both,724,0.6033333333333334,0.37331887497058835,-0.6266811250294116,-0.4189373170550006,0.3397790055248619,0.7044198895027625,0.10159931572087803
logit_full,0.7,moderate_cost,2.0,both,724,0.6033333333333334,0.37331887497058835,-1.6266811250294115,-1.4189373170550006,0.08149171270718232,0.7044198895027625,0.10159931572087803
logit_full,0.7,expensive_taker_like,5.0,both,724,0.6033333333333334,0.37331887497058835,-4.626681125029412,-4.418937317055001,0.008287292817679558,0.7044198895027625,0.10159931572087803
logit_full,0.7,very_expensive_round_trip,9.0,both,724,0.6033333333333334,0.37331887497058835,-8.62668112502941,-8.418937317055,0.0,0.7044198895027625,0.10159931572087803
logit_full,0.7,no_cost,0.0,down,355,0.29583333333333334,0.2770774097137891,0.2770774097137891,0.5489719289653028,0.6647887323943662,0.6647887323943662,-0.2770774097137891
logit_full,0.7,very_optimistic_passive_like,0.5,down,355,0.29583333333333334,0.2770774097137891,-0.22292259028621095,0.04897192896530278,0.5408450704225352,0.6647887323943662,-0.2770774097137891
logit_full,0.7,optimistic_low_cost,1.0,down,355,0.29583333333333334,0.2770774097137891,-0.7229225902862109,-0.4510280710346972,0.36338028169014086,0.6647887323943662,-0.2770774097137891
logit_full,0.7,moderate_cost,2.0,down,355,0.29583333333333334,0.2770774097137891,-1.7229225902862106,-1.4510280710346972,0.07042253521126761,0.6647887323943662,-0.2770774097137891
logit_full,0.7,expensive_taker_like,5.0,down,355,0.29583333333333334,0.2770774097137891,-4.722922590286211,-4.451028071034697,0.0,0.6647887323943662,-0.2770774097137891
logit_full,0.7,very_expensive_round_trip,9.0,down,355,0.29583333333333334,0.2770774097137891,-8.722922590286212,-8.451028071034697,0.0,0.6647887323943662,-0.2770774097137891
logit_full,0.7,no_cost,0.0,up,369,0.3075,0.46590890252116757,0.46590890252116757,0.6948433734166315,0.7425474254742548,0.7425474254742548,0.46590890252116757
logit_full,0.7,very_optimistic_passive_like,0.5,up,369,0.3075,0.46590890252116757,-0.034091097478832474,0.1948433734166315,0.5663956639566395,0.7425474254742548,0.46590890252116757
logit_full,0.7,optimistic_low_cost,1.0,up,369,0.3075,0.46590890252116757,-0.5340910974788324,-0.3051566265833685,0.3170731707317073,0.7425474254742548,0.46590890252116757
logit_full,0.7,moderate_cost,2.0,up,369,0.3075,0.46590890252116757,-1.5340910974788324,-1.3051566265833685,0.0921409214092141,0.7425474254742548,0.46590890252116757
logit_full,0.7,expensive_taker_like,5.0,up,369,0.3075,0.46590890252116757,-4.534091097478832,-4.3051566265833685,0.016260162601626018,0.7425474254742548,0.46590890252116757
logit_full,0.7,very_expensive_round_trip,9.0,up,369,0.3075,0.46590890252116757,-8.534091097478832,-8.305156626583369,0.0,0.7425474254742548,0.46590890252116757
logit_full,0.75,no_cost,0.0,both,533,0.44416666666666665,0.5790268298496172,0.5790268298496172,0.7432523592210138,0.7598499061913696,0.7598499061913696,0.07646560418744858
logit_full,0.75,very_optimistic_passive_like,0.5,both,533,0.44416666666666665,0.5790268298496172,0.07902682984961712,0.24325235922101385,0.6041275797373359,0.7598499061913696,0.07646560418744858
logit_full,0.75,optimistic_low_cost,1.0,both,533,0.44416666666666665,0.5790268298496172,-0.42097317015038294,-0.25674764077898615,0.37523452157598497,0.7598499061913696,0.07646560418744858
