feature_set,horizon,feature,standardized_coefficient,abs_standardized_coefficient
trade_flow_only,50,trade_volume_rolling_sum_20e,-0.09286790449601606,0.09286790449601606
trade_flow_only,50,trade_notional_rolling_sum_10e,0.08303135761940178,0.08303135761940178
trade_flow_only,50,trade_volume_rolling_sum_5e,0.07286830637587972,0.07286830637587972
trade_flow_only,50,trade_intensity_rolling_mean_20e,-0.06794952856516288,0.06794952856516288
trade_flow_only,50,notional_imbalance_rolling_10e,0.05658671333362978,0.05658671333362978
trade_flow_only,50,trade_imbalance_rolling_10e,0.05601455192206947,0.05601455192206947
trade_flow_only,50,signed_trade_volume_rolling_sum_20e,0.040678326991146575,0.040678326991146575
trade_flow_only,50,trade_notional_rolling_sum_5e,0.03792118829371268,0.03792118829371268
trade_flow_only,50,notional_imbalance_rolling_5e,0.036302542858194016,0.036302542858194016
trade_flow_only,50,trade_imbalance_rolling_5e,0.03606993752844863,0.03606993752844863
trade_flow_only,50,signed_trade_volume_rolling_sum_10e,-0.02983735355991829,0.02983735355991829
trade_flow_only,50,buy_trade_count,0.027463364452134664,0.027463364452134664
trade_flow_only,50,sell_trade_volume,0.025751440922223718,0.025751440922223718
trade_flow_only,50,signed_trade_volume_rolling_sum_5e,-0.025715565516090312,0.025715565516090312
trade_flow_only,50,trade_volume,0.025494216719387775,0.025494216719387775
trade_flow_only,50,notional_imbalance,0.023305385243441935,0.023305385243441935
trade_flow_only,50,trade_imbalance,0.02293631119538883,0.02293631119538883
trade_flow_only,50,signed_trade_notional_rolling_sum_10e,0.02145133628754534,0.02145133628754534
trade_flow_only,50,sell_trade_count,-0.01944020126632641,0.01944020126632641
trade_flow_only,50,buy_trade_notional,-0.01916437305689362,0.01916437305689362
trade_flow_only,50,trade_notional,-0.017299042823623975,0.017299042823623975
trade_flow_only,50,buy_trade_volume,0.012387662898887531,0.012387662898887531
trade_flow_only,50,signed_trade_volume,-0.009988671182250905,0.009988671182250905
trade_flow_only,50,signed_trade_notional,-0.009468035314836346,0.009468035314836346
trade_flow_only,50,signed_trade_notional_rolling_sum_50e,-0.00833803764316329,0.00833803764316329
trade_flow_only,50,sell_trade_notional,-0.006658018547972586,0.006658018547972586
trade_flow_only,50,signed_trade_notional_rolling_sum_5e,0.005998538181340454,0.005998538181340454
trade_flow_only,50,trade_intensity_per_second,0.005003048143353346,0.005003048143353346
trade_flow_only,50,trade_count,0.004659901281178776,0.004659901281178776
combined,50,imbalance_1,3.1051256509236054,3.1051256509236054
combined,50,trade_intensity_rolling_mean_50e,-1.811008980884969,1.811008980884969
combined,50,trade_count_rolling_sum_50e,1.7792012661061676,1.7792012661061676
combined,50,imbalance_5,-1.534808026216494,1.534808026216494
combined,50,ask_depth_5,-0.5771396590114973,0.5771396590114973
combined,50,bid_depth_5,0.5088115072509438,0.5088115072509438
combined,50,best_ask_qty,0.5060040294654694,0.5060040294654694
combined,50,best_bid_qty,-0.3260333301484494,0.3260333301484494
combined,50,trade_notional_rolling_sum_20e,-0.298107763921048,0.298107763921048
combined,50,microprice_deviation_bps,-0.28568977515022004,0.28568977515022004
combined,50,trade_count_rolling_sum_20e,0.28563808437411997,0.28563808437411997
combined,50,trade_intensity_rolling_mean_10e,-0.28455782474364727,0.28455782474364727
combined,50,imbalance_10,-0.26499495885395946,0.26499495885395946
combined,50,trade_intensity_rolling_mean_5e,-0.24160196345953008,0.24160196345953008
combined,50,trade_volume_rolling_sum_20e,-0.22196359276697952,0.22196359276697952
combined,50,buy_trade_count,-0.21073049025441926,0.21073049025441926
combined,50,sell_trade_count,0.19491793071325433,0.19491793071325433
combined,50,spread_bps,0.17005398534780866,0.17005398534780866
combined,50,trade_intensity_rolling_mean_20e,0.16106914819921617,0.16106914819921617
combined,50,trade_volume_rolling_sum_50e,0.14900944837747826,0.14900944837747826
combined,50,signed_trade_volume_rolling_sum_50e,-0.14323296878174618,0.14323296878174618
combined,50,trade_volume_rolling_sum_5e,0.1203311213974943,0.1203311213974943
combined,50,trade_count_rolling_sum_10e,0.11428826741679023,0.11428826741679023
combined,50,trade_volume_rolling_sum_10e,0.11371822731768272,0.11371822731768272
combined,50,ask_depth_10,-0.10378443444380007,0.10378443444380007
combined,50,signed_trade_notional_rolling_sum_20e,0.09893440334695158,0.09893440334695158
combined,50,trade_notional_rolling_sum_5e,0.07766059568085873,0.07766059568085873
combined,50,buy_trade_volume,0.07043332997745122,0.07043332997745122
combined,50,trade_notional_rolling_sum_50e,0.06284094920954082,0.06284094920954082
combined,50,signed_trade_volume,0.05762784832289172,0.05762784832289172
combined,50,trade_imbalance_rolling_50e,-0.056036995754010575,0.056036995754010575
combined,50,signed_trade_notional,0.05564237540495157,0.05564237540495157
combined,50,trade_notional_rolling_sum_10e,0.05369402332310268,0.05369402332310268
combined,50,signed_trade_notional_rolling_sum_50e,-0.052959523370982836,0.052959523370982836
