model,algorithm,feature_set,feature,importance,abs_importance,importance_type
random_forest_dynamic_compact,random_forest,dynamic_compact,spread_bps_change_1e,0.0001638272206784692,0.0001638272206784692,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,spread_bps,0.2223401537314718,0.2223401537314718,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,spread_bps_rolling_mean_5e,0.19960320127912404,0.19960320127912404,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,spread_bps_rolling_mean_10e,0.14562562765926138,0.14562562765926138,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,imbalance_1,0.03679893002836767,0.03679893002836767,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,best_ask_qty,0.03309281826282782,0.03309281826282782,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,microprice_deviation_bps,0.029331633417812416,0.029331633417812416,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,mid_return_bps_rolling_mean_10e,0.029307092707292245,0.029307092707292245,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,ask_depth_10,0.029228588670269506,0.029228588670269506,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,mid_return_bps_rolling_std_10e,0.026680096380127395,0.026680096380127395,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,imbalance_10,0.02637512153409037,0.02637512153409037,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,imbalance_5,0.02453010459993069,0.02453010459993069,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,bid_depth_5,0.02244922889344311,0.02244922889344311,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,ask_depth_5,0.020493787768895193,0.020493787768895193,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,bid_depth_10,0.019944806479332382,0.019944806479332382,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,best_bid_qty,0.018556005666562504,0.018556005666562504,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,microprice_deviation_bps_rolling_mean_10e,0.015792759586233836,0.015792759586233836,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,microprice_deviation_bps_rolling_mean_5e,0.013322335105637831,0.013322335105637831,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,microprice_deviation_bps_change_10e,0.012739392908050875,0.012739392908050875,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,imbalance_5_change_10e,0.011384086915505806,0.011384086915505806,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,imbalance_5_rolling_mean_5e,0.010473137467548117,0.010473137467548117,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,quote_changed_rolling_sum_10e,0.007348519670917151,0.007348519670917151,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,mid_return_bps_rolling_std_5e,0.006335808261421072,0.006335808261421072,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,microprice_deviation_bps_change_5e,0.005884766745862436,0.005884766745862436,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,imbalance_5_rolling_mean_10e,0.005234990614030659,0.005234990614030659,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,bid_depth_5_change_1e,0.00429734707356768,0.00429734707356768,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,mid_return_bps_rolling_mean_5e,0.003732305844603948,0.003732305844603948,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,imbalance_5_change_5e,0.0037161398479608697,0.0037161398479608697,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,quote_changed_rolling_sum_5e,0.0035034813733663267,0.0035034813733663267,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,best_bid_qty_change_1e,0.0032268725816792954,0.0032268725816792954,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,imbalance_5_change_1e,0.0028991264736210978,0.0028991264736210978,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,microprice_deviation_bps_change_1e,0.001396936848534902,0.001396936848534902,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,ask_depth_5_change_1e,0.0008968568867652529,0.0008968568867652529,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,mid_return_bps_lag_10e,0.0007494303493699761,0.0007494303493699761,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,best_ask_qty_change_1e,0.0007234979234676973,0.0007234979234676973,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,spread_bps_change_5e,0.0006760387346139571,0.0006760387346139571,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,mid_return_bps_lag_2e,0.0005014657077262273,0.0005014657077262273,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,mid_return_bps_lag_5e,0.00042665376342471514,0.00042665376342471514,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,mid_return_bps_lag_1e,0.00022719643722507828,0.00022719643722507828,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,quote_changed,0.00015365580005677852,0.00015365580005677852,feature_importance
random_forest_dynamic_full,random_forest,dynamic_full,event_gap_ms,0.0,0.0,feature_importance
