model,algorithm,feature_set,n_features,horizon,threshold,signal_group,n_signals,coverage,precision,mean_future_return_bps,median_future_return_bps,mean_signed_return_bps,median_signed_return_bps,positive_signed_return_share,break_even_round_trip_cost_bps
xgboost_static_full,xgboost,static_full,14,50,0.75,up,140,0.09043927648578812,0.8571428571428571,3.240314517066752,2.6812790993480107,3.240314517066752,2.6812790993480107,0.8571428571428571,3.240314517066752
xgboost_static_full,xgboost,static_full,14,50,0.75,down,19,0.01227390180878553,0.5789473684210527,0.3408190557235554,-0.517147897025616,-0.3408190557235554,0.517147897025616,0.5789473684210527,-0.3408190557235554
xgboost_static_full,xgboost,static_full,14,50,0.75,both,159,0.10271317829457365,0.8238993710691824,2.8938339273464964,2.6812790993480107,2.8123803165446404,2.6812790993480107,0.8238993710691824,2.8123803165446404
xgboost_static_full,xgboost,static_full,14,50,0.8,up,44,0.028423772609819122,0.9090909090909091,5.651605343358925,7.471065845559011,5.651605343358925,7.471065845559011,0.9090909090909091,5.651605343358925
xgboost_static_full,xgboost,static_full,14,50,0.8,down,5,0.003229974160206718,1.0,-2.638481011597138,-2.5320926616900774,2.638481011597138,2.5320926616900774,1.0,2.638481011597138
xgboost_static_full,xgboost,static_full,14,50,0.8,both,49,0.03165374677002584,0.9183673469387755,4.805678164281777,7.439182660236021,5.34414367685262,7.439182660236021,0.9183673469387755,5.34414367685262
xgboost_static_full,xgboost,static_full,14,50,0.85,up,22,0.014211886304909561,0.9545454545454546,6.6448956764919584,7.9318162361408096,6.6448956764919584,7.9318162361408096,0.9545454545454546,6.6448956764919584
xgboost_static_full,xgboost,static_full,14,50,0.85,down,0,0.0,,,,,,,
xgboost_static_full,xgboost,static_full,14,50,0.85,both,22,0.014211886304909561,0.9545454545454546,6.6448956764919584,7.9318162361408096,6.6448956764919584,7.9318162361408096,0.9545454545454546,6.6448956764919584
xgboost_static_full,xgboost,static_full,14,50,0.9,up,0,0.0,,,,,,,
xgboost_static_full,xgboost,static_full,14,50,0.9,down,0,0.0,,,,,,,
xgboost_static_full,xgboost,static_full,14,50,0.9,both,0,0.0,,,,,,,
xgboost_static_full,xgboost,static_full,14,50,0.95,up,0,0.0,,,,,,,
xgboost_static_full,xgboost,static_full,14,50,0.95,down,0,0.0,,,,,,,
xgboost_static_full,xgboost,static_full,14,50,0.95,both,0,0.0,,,,,,,
lightgbm_static_full,lightgbm,static_full,14,50,0.5,up,838,0.541343669250646,0.5823389021479713,0.6198297067659325,0.7753396755050268,0.6198297067659325,0.7753396755050268,0.5823389021479713,0.6198297067659325
lightgbm_static_full,lightgbm,static_full,14,50,0.5,down,710,0.458656330749354,0.4070422535211268,0.5125377306039043,0.5733446365119299,-0.5125377306039043,-0.5733446365119299,0.4070422535211268,-0.5125377306039043
lightgbm_static_full,lightgbm,static_full,14,50,0.5,both,1548,1.0,0.501937984496124,0.5706195626606096,0.6864347917201474,0.10046221288183428,0.016150561998884427,0.501937984496124,0.10046221288183428
lightgbm_static_full,lightgbm,static_full,14,50,0.55,up,591,0.3817829457364341,0.5956006768189509,0.7998408778263052,0.7753396755050268,0.7998408778263052,0.7753396755050268,0.5956006768189509,0.7998408778263052
lightgbm_static_full,lightgbm,static_full,14,50,0.55,down,478,0.3087855297157623,0.39748953974895396,0.653974626818896,0.7516323757972287,-0.653974626818896,-0.7516323757972287,0.39748953974895396,-0.653974626818896
lightgbm_static_full,lightgbm,static_full,14,50,0.55,both,1069,0.6905684754521964,0.5070159027128157,0.7346172407996058,0.7597144443538539,0.1497718308474407,0.016155937104800344,0.5070159027128157,0.1497718308474407
