run_name,row_in_run,future_return_bps,move_probability,direction_probability_up,direction_confidence,signal_direction,signed_return_bps,net_return_bps_1bps_cost,specification,move_threshold,direction_threshold
20260717_214215,2498,-0.9291302002745194,0.8072455768451171,0.34618522145870934,0.6538147785412907,-1,0.9291302002745194,-0.07086979972548058,confirmatory_primary_medium_0p75_0p65,0.75,0.65
20260717_214730,167,-0.22014742014797584,0.7893831227171408,0.3273704933562584,0.6726295066437415,-1,0.22014742014797584,-0.7798525798520242,confirmatory_primary_medium_0p75_0p65,0.75,0.65
20260717_214730,434,-0.14147951415854898,0.844585835168264,0.3257660281607908,0.6742339718392092,-1,0.14147951415854898,-0.858520485841451,confirmatory_primary_medium_0p75_0p65,0.75,0.65
20260717_220315,1978,-0.4392539272035645,0.8571863217412646,0.3351547842389724,0.6648452157610276,-1,0.4392539272035645,-0.5607460727964355,confirmatory_primary_medium_0p75_0p65,0.75,0.65
20260717_185958,13,4.1021677343122676,0.6624405600050748,0.6704804612134234,0.6704804612134234,1,4.1021677343122676,3.1021677343122676,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_185958,75,2.406100731722205,0.7154895590206174,0.659106585702171,0.659106585702171,1,2.406100731722205,1.406100731722205,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_185958,163,-4.210389690560978,0.650186411718561,0.3476288155822199,0.6523711844177801,-1,4.210389690560978,3.2103896905609783,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_185958,220,-2.184793992132672,0.6641005003854528,0.6661028589174997,0.6661028589174997,1,-2.184793992132672,-3.184793992132672,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_185958,484,4.90414376418391,0.6936145120533195,0.6568676415160747,0.6568676415160747,1,4.90414376418391,3.9041437641839103,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_185958,565,3.46229458435543,0.7203331074357324,0.33530934344899804,0.664690656551002,-1,-3.46229458435543,-4.46229458435543,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_185958,618,-1.3904700657862978,0.7939281256900648,0.6668006897034899,0.6668006897034899,1,-1.3904700657862978,-2.390470065786298,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_185958,677,-2.592678371133861,0.7249291582264622,0.34812618414570967,0.6518738158542903,-1,2.592678371133861,1.5926783711338608,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_185958,729,-3.7557185757053357,0.8122421151803613,0.32850109220468243,0.6714989077953175,-1,3.7557185757053357,2.7557185757053357,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_185958,784,5.600357536950096,0.7133506279222747,0.6619086314907536,0.6619086314907536,1,5.600357536950096,4.600357536950096,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_185958,908,0.4745405063810715,0.7117669365372631,0.6529883018515172,0.6529883018515172,1,0.4745405063810715,-0.5254594936189285,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_185958,977,-0.3006497991575596,0.6763420070553998,0.32951629634443697,0.6704837036555631,-1,0.3006497991575596,-0.6993502008424404,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_185958,1229,0.34808391670360095,0.664133344488936,0.6616515952689279,0.6616515952689279,1,0.34808391670360095,-0.651916083296399,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_185958,1320,-3.25990889662342,0.6540223547718936,0.6881336548954424,0.6881336548954424,1,-3.25990889662342,-4.25990889662342,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_185958,2339,0.6171613584182722,0.6788752850176505,0.654635177139371,0.654635177139371,1,0.6171613584182722,-0.38283864158172776,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_190514,467,4.492849803554577,0.6871060525398383,0.6662543839099672,0.6662543839099672,1,4.492849803554577,3.492849803554577,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_190514,1989,5.667873655359479,0.8390784852672981,0.6556807692000546,0.6556807692000546,1,5.667873655359479,4.667873655359479,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_190514,2040,-2.745546967393153,0.7497750864564049,0.3317653137182251,0.668234686281775,-1,2.745546967393153,1.7455469673931532,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_190514,2093,-1.3572707494735603,0.7407270973331008,0.33989675348897924,0.6601032465110208,-1,1.3572707494735603,0.3572707494735603,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_191029,4,4.588729229495492,0.8619941131311625,0.346900485066019,0.653099514933981,-1,-4.588729229495492,-5.588729229495492,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_191029,73,3.2470526298356006,0.6770827200645427,0.3491088206488249,0.6508911793511751,-1,-3.2470526298356006,-4.247052629835601,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_191029,171,-2.0633284322713052,0.689864386114246,0.34986012469377115,0.6501398753062289,-1,2.0633284322713052,1.0633284322713052,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_191029,359,-2.5845066704699438,0.7126924074741678,0.34606878420840637,0.6539312157915936,-1,2.5845066704699438,1.5845066704699438,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_191545,54,1.0015851860023517,0.799039701810567,0.19846572587797265,0.8015342741220274,-1,-1.0015851860023517,-2.0015851860023517,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_191545,722,2.0018173980007603,0.6505458533126786,0.665070857415154,0.665070857415154,1,2.0018173980007603,1.0018173980007603,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_191545,2254,-1.3114101372013742,0.6524241468313231,0.3225636000529305,0.6774363999470695,-1,1.3114101372013742,0.3114101372013742,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_192100,2594,-1.1210788884263856,0.6587410791580138,0.3346281708577327,0.6653718291422672,-1,1.1210788884263856,0.12107888842638559,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_192100,2657,-0.4580117709029885,0.6926835962266189,0.33804239494975724,0.6619576050502427,-1,0.4580117709029885,-0.5419882290970115,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_192613,1061,-1.0431541821387391,0.6519676571329173,0.3411061469490715,0.6588938530509285,-1,1.0431541821387391,0.04315418213873912,sensitivity_medium_0p65_0p65,0.65,0.65
