evaluation_method,feature_set,horizon,run_name,n,precision,mean_signed_return_bps,median_signed_return_bps,share_signed_return_ge_1_bps,up_count,down_count
raw_selected_signal,trade_flow_only,10,20260704_145150,5,1.0,0.4194210737740178,0.5763296605665325,0.0,3,2
raw_selected_signal,trade_flow_only,20,20260704_143609,1,1.0,0.1602819680379674,0.1602819680379674,0.0,0,1
raw_selected_signal,trade_flow_only,20,20260704_144124,4,1.0,0.3043630442389755,0.3043630442389755,0.0,4,0
raw_selected_signal,trade_flow_only,20,20260704_144638,1,1.0,0.1441043315364432,0.1441043315364432,0.0,0,1
raw_selected_signal,trade_flow_only,20,20260704_145150,5,1.0,0.4194210737740178,0.5763296605665325,0.0,3,2
raw_selected_signal,trade_flow_only,50,20260704_143609,7,0.7142857142857143,0.3182485814304644,0.6250996753487392,0.14285714285714285,4,3
raw_selected_signal,trade_flow_only,50,20260704_144124,19,0.631578947368421,0.5227048094814727,1.0892661629879896,0.5789473684210527,18,1
raw_selected_signal,trade_flow_only,50,20260704_144638,15,0.7333333333333333,0.10142180455193402,0.2561292940694848,0.13333333333333333,14,1
raw_selected_signal,trade_flow_only,50,20260704_145150,12,0.6666666666666666,0.42159701587329845,0.0800457861904746,0.25,9,3
raw_selected_signal,trade_flow_only,50,20260704_145704,3,1.0,0.0480148654014023,0.0480148654014023,0.0,3,0
