run_name,horizon,n,mean_bps,std_bps,median_bps,mean_abs_bps,median_abs_bps,share_positive,share_abs_ge_1_bps,share_abs_ge_2_bps
20260704_140444,10,2903,0.016719827692048078,0.4093931279149847,0.0,0.13420829781548643,0.0,0.1078194970719945,0.04822597313124354,0.007233895969686531
20260704_141000,10,2903,0.0048999735322504245,0.2762331002410766,0.0,0.0718266101558509,0.0,0.05821563899414399,0.027902170168790905,0.0020668274199104374
20260704_141515,10,2903,0.01445130318936167,0.21163510449652315,0.0,0.03407948742782536,0.0,0.033758181191870476,0.013434378229417844,0.003100241129865656
20260704_142028,10,2903,-0.025422644752321498,0.3087802997875684,0.0,0.08257607405197342,0.0,0.05545986910093007,0.027213227695487428,0.003100241129865656
20260704_142541,10,2902,0.011260305425675212,0.20245467728318534,0.0,0.0433767243119383,0.0,0.044796691936595454,0.004479669193659545,0.0031013094417643005
20260704_143056,10,2902,-0.007005327416460403,0.2470609855223178,0.0,0.07001388254561483,0.0,0.04893177119228118,0.014817367332873881,0.0
20260704_143609,10,2903,-0.015224612733924704,0.30454557439650687,0.0,0.10842363559302957,0.0,0.09335170513262142,0.021357216672407853,0.0
20260704_144124,10,2903,0.014018426624164457,0.23727065608819864,0.0,0.06180175219371375,0.0,0.050292800551153975,0.019634860489149156,0.0013778849466069584
20260704_144638,10,2903,0.010647799947108403,0.23188309292184922,0.0,0.07086620510052119,0.0,0.08301756803306924,0.012400964519462624,0.0
20260704_145150,10,2903,0.013015336328884214,0.2442870250032476,0.0,0.05602295020408287,0.0,0.0695831898036514,0.009989665862900447,0.003100241129865656
20260704_145704,10,2903,-0.007829456061053314,0.07952772146753675,0.0,0.013012891778635152,0.0,0.010678608336203927,0.0,0.0
20260704_125643,20,2892,-0.023656939375524804,0.36664167595498226,0.0,0.12308279813618435,0.0,0.059474412171507604,0.05532503457814661,0.0
20260704_130157,20,2893,-0.018683256422955572,0.2708148314482532,0.0,0.07193600296342834,0.0,0.03767715174559281,0.029381265122709988,0.0
20260704_130711,20,2892,-0.02754425349087711,0.2846451106068382,0.0,0.07777984938273554,0.0,0.05739972337482711,0.020055325034578148,0.0
20260704_131225,20,2892,-0.007850636240535017,0.36189863554698865,0.0,0.1129541931543226,0.0,0.07261410788381743,0.046680497925311204,0.005532503457814661
20260704_131740,20,2893,0.049148631438465845,0.26794313732315417,0.0,0.08207471952204881,0.0,0.15243691669547182,0.00967853439336329,0.004839267196681645
20260704_132254,20,2893,0.0024347654212182653,0.24369352926181798,0.0,0.07632914143743759,0.0,0.155893536121673,0.014863463532665053,0.0
