run_name,row_in_run,future_return_bps,signal_direction,fold,model,signed_return_bps,net_return_bps,direction_correct,net_profitable
20260708_190508,1280,0.0,1,fold_1_tue_to_wed,direct_multiclass_base,0.0,-1.0,False,False
20260708_190508,1331,1.0165266253348015,1,fold_1_tue_to_wed,direct_multiclass_base,1.0165266253348015,0.016526625334801537,True,True
20260708_190508,1389,-0.08068023116480916,-1,fold_1_tue_to_wed,direct_multiclass_base,0.08068023116480916,-0.9193197688351908,True,False
20260708_190508,1441,2.033158228924581,1,fold_1_tue_to_wed,direct_multiclass_base,2.033158228924581,1.0331582289245809,True,True
20260708_190508,1492,0.6775816465709461,-1,fold_1_tue_to_wed,direct_multiclass_base,-0.6775816465709461,-1.677581646570946,False,False
20260708_190508,1583,-0.27424065585424096,-1,fold_1_tue_to_wed,direct_multiclass_base,0.27424065585424096,-0.725759344145759,True,False
20260708_190508,1634,-2.5004980830856116,1,fold_1_tue_to_wed,direct_multiclass_base,-2.5004980830856116,-3.5004980830856116,False,False
20260708_190508,1685,-6.615875034188257,1,fold_1_tue_to_wed,direct_multiclass_base,-6.615875034188257,-7.615875034188257,False,False
20260708_190508,1736,1.2917570560211367,1,fold_1_tue_to_wed,direct_multiclass_base,1.2917570560211367,0.29175705602113666,True,True
20260708_190508,1787,2.809208715328637,1,fold_1_tue_to_wed,direct_multiclass_base,2.809208715328637,1.8092087153286371,True,True
20260708_190508,1838,1.6463602123173438,-1,fold_1_tue_to_wed,direct_multiclass_base,-1.6463602123173438,-2.6463602123173438,False,False
20260708_190508,1889,2.001247551901564,1,fold_1_tue_to_wed,direct_multiclass_base,2.001247551901564,1.0012475519015638,True,True
20260708_190508,1940,-0.30658141551898055,-1,fold_1_tue_to_wed,direct_multiclass_base,0.30658141551898055,-0.6934185844810195,True,False
20260708_190508,1991,-1.613708778818168,-1,fold_1_tue_to_wed,direct_multiclass_base,1.613708778818168,0.6137087788181681,True,True
20260708_190508,2042,3.502149302918589,1,fold_1_tue_to_wed,direct_multiclass_base,3.502149302918589,2.502149302918589,True,True
20260708_190508,2095,0.5324276684914864,-1,fold_1_tue_to_wed,direct_multiclass_base,-0.5324276684914864,-1.5324276684914864,False,False
20260708_190508,2156,0.24199969185456638,-1,fold_1_tue_to_wed,direct_multiclass_base,-0.24199969185456638,-1.2419996918545664,False,False
20260708_190508,2207,-2.2586091323628654,-1,fold_1_tue_to_wed,direct_multiclass_base,2.2586091323628654,1.2586091323628654,True,True
20260708_190508,2258,2.275300004759284,-1,fold_1_tue_to_wed,direct_multiclass_base,-2.275300004759284,-3.275300004759284,False,False
20260708_190508,2309,-0.7098611818046052,-1,fold_1_tue_to_wed,direct_multiclass_base,0.7098611818046052,-0.2901388181953948,True,False
20260708_190508,2364,-2.6297469554226183,1,fold_1_tue_to_wed,direct_multiclass_base,-2.6297469554226183,-3.6297469554226183,False,False
20260708_190508,2418,-0.4518544996223728,1,fold_1_tue_to_wed,direct_multiclass_base,-0.4518544996223728,-1.4518544996223728,False,False
20260708_190508,2470,-0.59712042708715,-1,fold_1_tue_to_wed,direct_multiclass_base,0.59712042708715,-0.40287957291285004,True,False
20260708_190508,2525,1.5491729272354426,1,fold_1_tue_to_wed,direct_multiclass_base,1.5491729272354426,0.5491729272354426,True,True
20260708_190508,2584,3.5173686210376864,1,fold_1_tue_to_wed,direct_multiclass_base,3.5173686210376864,2.5173686210376864,True,True
20260708_190508,2635,2.8223985549313824,1,fold_1_tue_to_wed,direct_multiclass_base,2.8223985549313824,1.8223985549313824,True,True
20260708_190508,2686,-1.9828779296826582,1,fold_1_tue_to_wed,direct_multiclass_base,-1.9828779296826582,-2.982877929682658,False,False
