evaluation_method,model,run_name,n_signals_or_trades,precision,mean_signed_return_bps,median_signed_return_bps,positive_signed_return_share,up_count,down_count,total_signed_return_bps
cooldown_first_signal,logit_dynamic_compact,20260701_194906,30,0.6666666666666666,0.536339543042182,0.5702875362240123,0.6666666666666666,17,13,16.09018629126546
cooldown_first_signal,logit_dynamic_compact,20260701_195416,26,0.7307692307692307,0.44987509279226234,0.5875830892659861,0.7307692307692307,12,14,11.696752412598821
cooldown_first_signal,logit_dynamic_compact,20260701_195929,28,0.75,1.5625755748994397,1.918374370335485,0.75,15,13,43.75211609718431
cooldown_first_signal,logit_dynamic_compact,20260701_200443,40,0.55,0.18403701329955396,0.25906930962826813,0.55,22,18,7.361480531982158
cooldown_first_signal,logit_dynamic_compact,20260701_200954,32,0.46875,0.26400738206408536,-0.14192005791557882,0.46875,16,16,8.448236226050732
cooldown_first_signal,xgboost_dynamic_full,20260701_191230,56,0.6071428571428571,0.5882909199569115,0.47578919407209597,0.6071428571428571,56,0,32.94429151758705
cooldown_first_signal,xgboost_dynamic_full,20260701_191745,55,0.4909090909090909,0.13646485476348505,-0.09994994173867511,0.4909090909090909,55,0,7.505567011991678
cooldown_first_signal,xgboost_dynamic_full,20260701_192258,55,0.38181818181818183,-0.38302347068852594,-0.8848102290737181,0.38181818181818183,55,0,-21.066290887868927
cooldown_first_signal,xgboost_dynamic_full,20260701_192811,53,0.4716981132075472,-0.2075869352192455,-0.3680914874659713,0.4716981132075472,53,0,-11.002107566620012
cooldown_first_signal,xgboost_dynamic_full,20260701_193325,55,0.43636363636363634,-0.01727827496171437,-0.3021110006173888,0.43636363636363634,55,0,-0.9503051228942905
cooldown_first_signal,xgboost_dynamic_full,20260701_193836,54,0.5555555555555556,0.09404097190546656,0.3269344256873197,0.5555555555555556,54,0,5.078212482895195
cooldown_first_signal,xgboost_dynamic_full,20260701_194351,55,0.509090909090909,0.012601600408521853,0.01678563485318918,0.509090909090909,55,0,0.6930880224687019
cooldown_first_signal,xgboost_dynamic_full,20260701_194906,55,0.5818181818181818,0.3256833064265214,0.11736508673809709,0.5818181818181818,55,0,17.912581853458676
cooldown_first_signal,xgboost_dynamic_full,20260701_195416,50,0.42,-0.4915524690359829,-0.17644771940050763,0.42,50,0,-24.577623451799145
cooldown_first_signal,xgboost_dynamic_full,20260701_195929,54,0.5925925925925926,0.7918534484030665,0.613324933429471,0.5925925925925926,54,0,42.76008621376559
cooldown_first_signal,xgboost_dynamic_full,20260701_200443,55,0.5272727272727272,0.2832815494015232,0.21761346659099345,0.5272727272727272,55,0,15.580485217083776
